Titel,Status,Priorität,Typ,Projekt,Zugewiesen an,Erstellt von,Deadline,Erstellt am,Aktualisiert am
inseratsprobleme,pending,medium,,AutoAnkauf24,KFZ Auktion,KFZ Auktion,,23.12.2025 16:56,23.12.2025 16:56
9,pending,medium,,AutoAnkauf24,,KFZ Auktion,,08.01.2026 14:45,08.01.2026 14:45
marken Auswahl nur 5 stück.,completed,medium,enhancement,AutoAnkauf24,Administrator,Administrator,,06.12.2025 04:14,11.12.2025 04:52
so muss die Information sein für die Privatkunden für den verkauf von ihr Auto.,pending,medium,design,AutoAnkauf24,Administrator,Administrator,,06.12.2025 04:15,05.01.2026 12:58
Kaufvertrag ausdruck Möglichkeit mit unseren logo musterverträge.,completed,medium,feature,AutoAnkauf24,Administrator,Administrator,,06.12.2025 04:15,11.12.2025 04:52
15,pending,medium,,AutoAnkauf24,,KFZ Auktion,,17.01.2026 13:45,17.01.2026 13:45
Keine Passwort zuweisung bei Registrierung,pending,medium,,AutoAnkauf24,,KFZ Auktion,,17.01.2026 13:50,17.01.2026 13:50
7,pending,medium,,AutoAnkauf24,,KFZ Auktion,,08.01.2026 14:31,08.01.2026 14:31
Erster Blick,pending,low,,AutoAnkauf24,KFZ Auktion,KFZ Auktion,23.12.2025 00:00,23.12.2025 15:46,23.12.2025 15:46
1,pending,medium,,AutoAnkauf24,,KFZ Auktion,,07.01.2026 12:08,07.01.2026 12:08
händler login startseite,pending,medium,,AutoAnkauf24,,KFZ Auktion,,17.01.2026 13:55,17.01.2026 13:55
2,pending,medium,,AutoAnkauf24,,KFZ Auktion,,07.01.2026 12:10,07.01.2026 12:10
12,pending,medium,,AutoAnkauf24,,KFZ Auktion,,08.01.2026 14:55,08.01.2026 14:55
6,pending,medium,,AutoAnkauf24,,KFZ Auktion,,07.01.2026 12:27,07.01.2026 12:27
kunden login überarbeitung,pending,medium,,AutoAnkauf24,,KFZ Auktion,,17.01.2026 14:23,17.01.2026 14:23
"""neues inserat"" button bringt mich auf die startseite zurück",pending,medium,,AutoAnkauf24,,KFZ Auktion,,17.01.2026 14:25,17.01.2026 14:25
Information für geschäftskunden für die seite.,completed,medium,enhancement,AutoAnkauf24,Administrator,Administrator,,06.12.2025 04:15,11.12.2025 04:52
3,pending,medium,,AutoAnkauf24,,KFZ Auktion,,07.01.2026 12:13,07.01.2026 12:13
"händlerseite, keine auktionen sichtbar",pending,medium,,AutoAnkauf24,,KFZ Auktion,,17.01.2026 13:54,17.01.2026 13:54
händerübersicht aller gebote,pending,medium,,AutoAnkauf24,,KFZ Auktion,,17.01.2026 13:57,17.01.2026 13:57
"""Für Händler"" Button wegmachen",pending,urgent,,AutoAnkauf24,,KFZ Auktion,,17.01.2026 13:49,17.01.2026 13:49
10,pending,medium,,AutoAnkauf24,,KFZ Auktion,,08.01.2026 14:49,08.01.2026 14:49
Anmelde Möglichkeit nicht vorhanden ob Händler oder Privatkunde.,completed,medium,bug,AutoAnkauf24,Administrator,Administrator,,06.12.2025 04:14,11.12.2025 04:52
"händlerseite ""neues inserat erstellen"" entfernen!",pending,medium,,AutoAnkauf24,,KFZ Auktion,,17.01.2026 13:53,17.01.2026 13:53
so muss die Startseite aussehen.,pending,medium,design,AutoAnkauf24,Administrator,Administrator,,06.12.2025 04:15,06.12.2025 04:15
es gibt keine Händler Funktion.,completed,high,feature,AutoAnkauf24,Administrator,Administrator,,06.12.2025 04:14,11.12.2025 04:52
5,pending,medium,,AutoAnkauf24,,KFZ Auktion,,07.01.2026 12:23,07.01.2026 12:23
Admin Dashboard Übersicht verbersserung,pending,high,,AutoAnkauf24,Administrator,KFZ Auktion,23.12.2025 00:00,23.12.2025 15:35,23.12.2025 15:35
11,pending,medium,,AutoAnkauf24,,KFZ Auktion,,08.01.2026 14:50,08.01.2026 14:50
13,pending,medium,,AutoAnkauf24,,KFZ Auktion,,08.01.2026 14:56,08.01.2026 14:56
"beim inserieren ""schritte"" entfernen",pending,medium,,AutoAnkauf24,,KFZ Auktion,,17.01.2026 14:13,17.01.2026 14:13
4,pending,medium,,AutoAnkauf24,,KFZ Auktion,,07.01.2026 12:18,07.01.2026 12:18
händler dashboard,pending,medium,,AutoAnkauf24,,KFZ Auktion,,17.01.2026 14:15,17.01.2026 14:15
Funktion mit Fahrzeugschein nicht möglich.,completed,medium,bug,AutoAnkauf24,Administrator,Administrator,,06.12.2025 04:13,11.12.2025 04:52
"händler können nicht auf auktion bieten ""teschnischer fehler",pending,medium,,AutoAnkauf24,,KFZ Auktion,,17.01.2026 14:04,17.01.2026 14:04
kunden dashboard,pending,medium,,AutoAnkauf24,,KFZ Auktion,,17.01.2026 14:22,17.01.2026 14:22
Logo überall und immer anklickbar um zurück auf Startseite zu kommen,pending,medium,,AutoAnkauf24,,KFZ Auktion,,17.01.2026 14:24,17.01.2026 14:24
eine suchleiste für alles,completed,medium,feature,AutoAnkauf24,Administrator,Administrator,,06.12.2025 04:15,11.12.2025 04:52
8,pending,medium,,AutoAnkauf24,,KFZ Auktion,,08.01.2026 14:32,08.01.2026 14:32
dashboard,pending,medium,,AutoAnkauf24,,KFZ Auktion,,17.01.2026 14:07,17.01.2026 14:07
14,pending,medium,,AutoAnkauf24,,KFZ Auktion,,08.01.2026 14:59,08.01.2026 14:59
